DataZon,CIF,crime_rate,overcrowded_count,Employment_rate,DEPRESS,DRUG,Noquals,SMR,nocentralheat_rate,Clst_KM,BMU,hier_cluster
S01008784,0.039215686274510,0.034565189300943,0.185714285714286,0.113207547169811,0.470374326760393,0.097393529604134,0.221224183832629,0.286496350364964,0.212498932809698,5,112.000000000000000,1
S01008785,0.372549019607843,0.137981276481720,0.395918367346939,0.433962264150943,0.664039651417782,0.228066600412151,0.568542191702656,0.273722627737226,0.222367304302409,3,77.000000000000000,4
S01008786,0.166666666666667,0.122872796701624,0.463265306122449,0.207547169811321,0.467196531001994,0.318531717830760,0.217609778572810,0.147810218978102,0.674602169600267,1,32.000000000000000,2
S01008787,0.539215686274510,0.144116062495190,0.177551020408163,0.924528301886792,0.797721407001273,0.747272224615186,0.893144896707056,0.428832116788321,0.330440924225608,3,121.000000000000000,5
S01008788,0.137254901960784,0.091567124264575,0.487755102040816,0.113207547169811,0.212634504884473,0.017950824671655,0.200224048344600,0.279197080291971,0.365381460213289,1,8.000000000000000,1
S01008789,0.313725490196078,0.121122406774495,0.308163265306122,0.339622641509434,0.663932915868238,0.418549541722456,0.406558593459124,0.198905109489051,0.256996134094974,3,76.000000000000000,4
S01008790,0.303921568627451,0.334898278560250,0.295918367346939,0.339622641509434,0.608259867826250,0.178009153883220,0.470013001178576,0.308394160583942,0.277273826802129,3,77.000000000000000,4
S01008791,0.098039215686275,0.125447468384112,0.475510204081633,0.113207547169811,0.231313670935329,0.188315741750204,0.336195061931999,0.098540145985401,0.219831759213442,1,41.000000000000000,1
S01008792,0.176470588235294,0.143149132260582,0.324489795918367,0.245283018867925,0.527010607694003,0.124970396649855,0.300109697072131,0.284671532846715,0.319340841499683,2,64.000000000000000,1
S01008793,0.284313725490196,0.237611413622121,0.344897959183673,0.339622641509434,0.375556184703608,0.325149520076722,0.446943902006605,0.160583941605839,0.451504573372807,3,66.000000000000000,4
S01008794,0.274509803921569,0.039979206264113,0.393877551020408,0.226415094339623,0.579700030571313,0.399489473078113,0.388405401925142,0.226277372262774,0.161511195262103,2,75.000000000000000,4
S01008795,0.137254901960784,0.021860993704749,0.646938775510204,0.132075471698113,0.289068935974489,0.101200635898163,0.208275513742146,0.197080291970803,0.511081962802272,1,21.000000000000000,1
S01008796,0.147058823529412,0.075286072261792,0.679591836734694,0.188679245283019,0.391638354685541,0.217295781023436,0.504856493641439,0.266423357664234,0.535497711187311,1,44.000000000000000,4
S01008797,0.166666666666667,0.047965410533013,0.538775510204082,0.150943396226415,0.302939150874602,0.045826074479648,0.272872258352939,0.202554744525547,0.600306827917357,1,21.000000000000000,1
S01008798,0.176470588235294,0.052945022708396,0.416326530612245,0.207547169811321,0.307609781101412,0.092609170933944,0.408174879335622,0.186131386861314,0.448251765102773,1,43.000000000000000,1
S01008799,0.137254901960784,0.056564588604010,0.677551020408163,0.113207547169811,0.155547630303505,0.019618267188855,0.466915208219555,0.359489051094890,0.014867357071925,2,52.000000000000000,4
S01008800,0.107843137254902,0.016885627490433,1.000000000000000,0.132075471698113,0.215600839527370,0.059033266465956,0.166854814317393,0.109489051094891,0.749867833378909,1,11.000000000000000,2
S01008801,0.137254901960784,0.063677841698076,0.546938775510204,0.150943396226415,0.283152356069570,0.042486107932835,0.356209003891872,0.166058394160584,0.538703434929850,1,21.000000000000000,1
S01008802,0.215686274509804,0.028210643169361,0.726530612244898,0.188679245283019,0.301697075237907,0.099223867262346,0.335781731196269,0.273722627737226,0.691456257139480,1,11.000000000000000,2
S01008803,0.235294117647059,0.066487158243579,0.681632653061224,0.264150943396226,0.354558908449727,0.158051933078567,0.368441001636463,0.222627737226277,0.462145235452671,1,44.000000000000000,4
S01008804,0.215686274509804,0.091406917398637,0.469387755102041,0.226415094339623,0.740485105654102,0.157991867470152,0.341956093654773,0.421532846715328,0.766919414565333,1,33.000000000000000,2
S01008805,0.098039215686275,0.055637193950218,0.220408163265306,0.094339622641509,0.165812472977732,0.046394189397294,0.142635594262923,0.109489051094891,0.579242254459553,4,27.000000000000000,1
S01008806,0.117647058823529,0.050732115465068,0.497959183673469,0.113207547169811,0.205771618686358,0.064690033552054,0.195448215379719,0.147810218978102,0.320180717314422,1,8.000000000000000,1
S01008807,0.156862745098039,0.027400768245839,0.395918367346939,0.169811320754717,0.396629267105408,0.054768247086463,0.238107418074187,0.235401459854015,0.524299599771297,1,9.000000000000000,2
S01008808,0.166666666666667,0.047028268904205,0.206122448979592,0.207547169811321,0.419440345894071,0.136407830182252,0.255065264773154,0.142335766423358,0.298244116224138,2,50.000000000000000,1
